x,y,etiqueta
-2.4323,5.9442,-1.0
'-6.0375',-0.2331,'-1.0'
"""-6.259""",2.5003,"""-1.0"""
'5.4486',4.2629,-1.0
-3.9779,-4.8596,-1.0
'1.4524',6.7028,-1.0
-4.598,-4.2954,-1.0
-4.055,'-5.5961','-1.0'
3.9,"'5.5141""",-1.0
6.3056,'2.5586',-1.0
1.1559,"""-5.9059""",-1.0
-6.7419,'1.74',-1.0
6.2825,2.4039,-1.0
'6.3015',-0.2033,'-1.0'
6.3843,2.4253,-1.0
-2.1265,-5.9106,-1.0
"'6.8366""",-0.7036,-1.0
0.4152,6.0985,-1.0
4.1997,"""5.2252""",-1.0
4.7288,4.5187,-1.0
"'-2.0028""",5.7582,"'-1.0"""
'5.0256','3.702','-1.0'
-2.1372,-5.6197,-1.0
'5.9796',2.4677,-1.0
"'-6.2902""",-0.3728,-1.0
'6.5969','-0.1369',-1.0
2.4635,-5.7954,-1.0
-4.7199,-4.1727,-1.0
"'-2.3341""",6.3264,-1.0
-4.3062,'-4.2469','-1.0'
-6.8035,-1.1672,-1.0
'-6.1264',3.0692,-1.0
4.5427,"'4.8809""",-1.0
4.9893,-4.3101,-1.0
-6.5521,2.1387,-1.0
2.109,'5.8147',-1.0
"'-4.0985""",4.4895,-1.0
'-5.3532',3.2055,'-1.0'
3.1808,-6.0041,"""-1.0"""
-0.6202,-6.0027,'-1.0'
0.7965,-6.5344,"'-1.0"""
6.9786,'0.4845','-1.0'
-5.9261,"""3.447""",-1.0
-6.4767,0.7627,'-1.0'
6.0196,"'0.7294""",-1.0
-0.4209,6.8184,-1.0
0.4263,-6.5852,"""-1.0"""
'3.9827',4.6401,-1.0
"'-5.9445""","'-1.3409""",-1.0
1.4987,6.7451,'-1.0'
6.6499,0.5074,-1.0
'0.3774',6.8189,'-1.0'
6.8001,-1.0388,"'-1.0"""
2.0911,-6.2302,-1.0
6.3084,-1.6376,-1.0
'-6.4117',0.4903,-1.0
4.874,4.0185,-1.0
-6.1447,-1.9098,'-1.0'
-6.4975,"""1.9153""",-1.0
3.6887,-5.4753,-1.0
5.6246,3.9839,-1.0
-6.4258,'0.4756',-1.0
3.8819,5.3464,-1.0
'-2.9985','5.9147',-1.0
"'-0.5231""",-6.5709,-1.0
-6.6267,1.0062,-1.0
-4.4351,"""4.3858""","""-1.0"""
'-5.1326',4.0084,-1.0
-5.9071,1.5386,-1.0
1.3934,'-6.2306','-1.0'
5.0526,"""-4.0696""",-1.0
'6.392',-1.8425,-1.0
1.5972,-6.7645,"'-1.0"""
-2.6369,6.0511,-1.0
"""-2.5558""",-6.2405,-1.0
-6.0126,2.4859,-1.0
-0.1947,"'6.6312""",-1.0
'3.281',-5.108,-1.0
6.073,"""1.4954""",-1.0
'5.1879',-3.6822,-1.0
-6.2838,1.5514,-1.0
'-3.935',-4.5898,-1.0
-3.311,"""-5.1708""","""-1.0"""
4.9625,'-3.8434',-1.0
-4.5552,-5.2775,-1.0
-4.7772,-4.1551,-1.0
"""5.9219""",2.6359,-1.0
'-6.1547','-0.7151',-1.0
"'3.88""",5.3524,-1.0
-0.4954,-6.2611,-1.0
"""-6.1887""",-0.4762,-1.0
-2.7662,-5.9003,-1.0
"'5.8008""",1.5546,-1.0
5.175,'3.0514',-1.0
"""-1.3061""","""-6.0804""","""-1.0"""
'5.4281','2.6416',-1.0
5.506,2.6442,-1.0
6.3205,0.4818,'-1.0'
"""6.5501""",-1.8362,-1.0
'-0.5153',-6.5518,-1.0
-3.9349,5.1896,"'-1.0"""
-1.8141,6.0264,-1.0
-4.0639,5.6155,-1.0
0.987,-6.3204,'-1.0'
-3.2172,"'-5.1674""",-1.0
'2.6205',6.0761,'-1.0'
2.8061,5.4319,-1.0
5.1707,3.6777,'-1.0'
-3.4764,-5.501,-1.0
'0.6199',-6.8462,'-1.0'
-0.613,6.4645,-1.0
6.6443,'0.8795',-1.0
6.0813,"'3.4521""",-1.0
'6.0069','-1.2298',-1.0
-1.7674,6.0207,"""-1.0"""
0.7705,-6.348,'-1.0'
-4.5505,"'-4.5313""",-1.0
'-4.7266',4.3314,-1.0
1.8985,6.6416,-1.0
'4.8541',4.6385,-1.0
-4.9563,-4.3703,"'-1.0"""
0.9727,-6.2339,'-1.0'
"""-4.2194""",-5.3629,"""-1.0"""
-6.8294,-1.3162,-1.0
6.5856,1.7772,"'-1.0"""
5.8843,'-1.1805',-1.0
1.9997,-6.328,-1.0
-1.6085,5.8334,-1.0
6.2081,-0.7854,"'-1.0"""
'-4.8598',-3.6194,-1.0
-5.7379,-3.2691,-1.0
'-0.0809',-6.6861,-1.0
2.314,-5.6597,"'-1.0"""
-3.539,'-5.3131',-1.0
4.4756,4.6532,-1.0
-3.354,5.4144,-1.0
5.5067,"'-2.6727""",-1.0
1.0195,6.3375,'-1.0'
-4.6881,"""4.858""","""-1.0"""
-5.5265,2.513,-1.0
-5.6448,"'2.2594""","'-1.0"""
-4.8208,-4.1404,-1.0
6.5024,"""-2.4302""",-1.0
0.3898,6.6572,-1.0
"'4.8252""",4.6176,"'-1.0"""
2.0619,6.0185,-1.0
4.9984,-4.3003,"""-1.0"""
-3.6594,-4.7676,-1.0
"'-1.4845""",6.4679,-1.0
'2.7833',-6.3283,-1.0
"""4.2587""","""-5.0586""",-1.0
3.9175,-5.6481,'-1.0'
"'5.8703""","'-3.279""",-1.0
'-0.0862',6.12,-1.0
0.2186,-6.899,-1.0
-5.8809,1.4887,-1.0
3.5701,-5.4724,-1.0
'-0.8276',-6.0861,-1.0
0.9944,"""-5.9289""","""-1.0"""
'-3.5708','-5.3377','-1.0'
2.772,5.6519,"'-1.0"""
-6.2282,'-1.8106',-1.0
6.5467,-0.6326,"""-1.0"""
5.5821,-2.3168,-1.0
"'5.8991""",1.6407,-1.0
3.3452,5.6414,-1.0
4.2917,4.6709,"""-1.0"""
-1.0117,-6.6527,-1.0
2.7484,-6.058,"'-1.0"""
'1.5557','6.6665',-1.0
"""-6.688""","""-0.2461""",-1.0
3.4693,'-5.4137',-1.0
"'-0.7197""",-6.634,"'-1.0"""
'-6.0557',-1.6459,-1.0
-5.3172,-3.3907,-1.0
-6.7796,'-0.3565',-1.0
-1.8974,6.1609,-1.0
-6.2389,-2.7008,-1.0
"""-2.5559""",-6.3256,-1.0
4.7977,-4.8999,'-1.0'
-4.5318,"'-5.2252""",-1.0
0.449,-6.4153,-1.0
"""3.3834""",5.3367,"""-1.0"""
-6.3911,1.5745,-1.0
6.3602,"'0.3733""",-1.0
'0.1377',6.5996,-1.0
-0.9881,"""-6.6324""","""-1.0"""
6.6796,-0.344,'-1.0'
5.1764,3.7202,"'-1.0"""
-5.0229,3.5778,-1.0
"""1.9899""",-6.1149,-1.0
1.7494,5.8882,-1.0
-6.4815,-2.3374,-1.0
-0.6737,-6.31,-1.0
-4.5912,-4.0985,-1.0
'2.2875','5.5744',-1.0
-4.0859,5.2414,-1.0
1.3986,-6.4879,-1.0
"""-5.9761""",-2.1188,-1.0
'6.0684',0.1995,'-1.0'
0.4423,-6.3944,-1.0
6.1565,1.3888,-1.0
-0.179,-6.6747,-1.0
'1.9431',6.3135,'-1.0'
"'6.145""",-1.6573,-1.0
-4.1974,4.5873,'-1.0'
-3.2478,6.1874,-1.0
3.83,'5.1948','-1.0'
"'-2.2894""",6.2842,-1.0
4.3868,-4.2968,-1.0
6.4839,"""-0.1494""",-1.0
-4.0792,4.4375,-1.0
"'-6.1693""","'2.0642""","'-1.0"""
-1.2158,-6.8571,-1.0
4.8204,-4.1859,-1.0
-5.0361,-3.3328,-1.0
-4.6836,3.7996,-1.0
-5.4492,'3.3335',-1.0
-2.0641,"""-5.8039""",-1.0
6.0221,0.1218,'-1.0'
"'-4.937""",-4.6122,-1.0
-3.9743,5.0909,'-1.0'
1.7242,-6.0483,-1.0
'5.7554',3.8061,-1.0
-5.2007,"'-3.2187""",-1.0
'-6.9063','0.8296',-1.0
"""-3.9532""",-4.9233,"""-1.0"""
6.3244,2.7299,-1.0
-5.7865,-3.1804,-1.0
-6.3236,-2.5722,-1.0
-6.4829,"""-2.5979""",-1.0
-5.0052,-3.8068,-1.0
-3.1029,-6.2313,"'-1.0"""
2.1639,-6.0119,-1.0
-0.7932,6.3361,-1.0
2.8802,-5.6484,-1.0
-6.541,"'0.0717""",-1.0
5.4468,2.8646,-1.0
"""6.1152""",2.357,-1.0
'-3.303','5.6466',-1.0
"'1.4708""","'-6.6""",-1.0
'-1.7957',-6.5935,-1.0
1.5473,"""-6.2518""",-1.0
'-6.2653','-0.6825',-1.0
-5.8227,2.2969,-1.0
3.7209,'4.9526',-1.0
-2.8578,5.3412,-1.0
-5.8052,2.5547,'-1.0'
"'5.3235""",3.3131,-1.0
'1.2791',6.848,-1.0
-5.3479,-3.7951,"""-1.0"""
-0.571,'-6.3215',-1.0
6.5801,"'-0.0683""",-1.0
'5.605','-2.5048',-1.0
-4.027,"""-5.0308""",-1.0
-5.8315,'3.1466',-1.0
-4.2551,-4.899,-1.0
1.4221,'-6.2418',-1.0
5.1481,4.7341,"""-1.0"""
-5.807,'3.6901','-1.0'
3.542,-5.5967,"'-1.0"""
-4.8958,'4.3804','-1.0'
"""-5.957""","""-2.8892""","""-1.0"""
-5.282,'-3.2491','-1.0'
2.5591,"'5.8608""",-1.0
'-3.9147',4.599,-1.0
-3.2792,"""5.5839""",-1.0
6.4546,1.0721,'-1.0'
6.1559,0.943,"'-1.0"""
3.4198,-6.0665,-1.0
-0.9981,6.837,-1.0
-6.6788,'-0.7619','-1.0'
-1.9691,6.2296,-1.0
6.3983,'-2.5017','-1.0'
-0.3579,"""6.1202""",-1.0
-6.138,2.9045,-1.0
"'4.2687""",-4.3922,"'-1.0"""
3.7099,-5.6919,'-1.0'
2.4525,5.7767,-1.0
2.2335,-6.5043,-1.0
"'-6.7058""","'1.8034""","'-1.0"""
-6.1136,0.6567,-1.0
4.3199,4.8067,-1.0
'6.1047',3.3862,-1.0
-0.8958,-6.4212,"'-1.0"""
'-6.8619',0.1526,'-1.0'
"""-6.0769""",2.5462,"""-1.0"""
-0.8186,-6.3226,-1.0
0.6117,-6.2559,"'-1.0"""
3.3597,5.2146,'-1.0'
-5.204,"""-4.3175""",-1.0
'4.2128','4.8',-1.0
0.0563,-6.511,"'-1.0"""
-3.583,-5.4141,-1.0
6.3344,"""-1.7708""",-1.0
'6.2312',2.8825,-1.0
6.537,2.4492,-1.0
-1.287,6.277,-1.0
-0.5017,"""6.8091""","""-1.0"""
0.1284,6.7633,'-1.0'
"'5.4658""",-3.6519,-1.0
0.0198,6.956,-1.0
-0.8524,6.1416,"""-1.0"""
0.3605,-6.0986,-1.0
"'-6.515""",2.1286,-1.0
1.0756,-6.3487,-1.0
6.2776,2.7337,"""-1.0"""
'-6.8721','0.5378',-1.0
5.9277,1.2709,"'-1.0"""
'6.357','2.6403','-1.0'
5.3658,-3.5762,-1.0
4.1736,4.9966,'-1.0'
"'-6.4896""","'-1.3406""",-1.0
-5.8735,3.671,-1.0
-3.4562,4.9279,"""-1.0"""
'5.2359','-3.8125',-1.0
6.6249,"'0.9142""","'-1.0"""
-3.466,'-5.7603',-1.0
"""6.5163""","""-1.5257""",-1.0
-5.7013,-2.2643,-1.0
5.8096,-2.4354,"'-1.0"""
6.019,2.0505,'-1.0'
-5.9377,"""3.3232""",-1.0
-0.4005,6.266,-1.0
-0.7466,-6.1657,"'-1.0"""
'6.9095',-0.8157,-1.0
-0.2465,6.0038,"""-1.0"""
-3.9633,'-5.7673',-1.0
"'2.139""",6.3249,-1.0
-6.2612,-2.7249,'-1.0'
-6.1337,1.4143,"""-1.0"""
'5.9215','-1.0524','-1.0'
"'-5.2311""","'-4.2467""",-1.0
-3.9998,'5.5414','-1.0'
5.0813,4.4288,-1.0
3.5716,'4.9978',-1.0
1.0432,"'6.6724""","'-1.0"""
-0.0411,6.7688,-1.0
3.9346,-5.3717,-1.0
-6.2717,-2.539,-1.0
"'-6.7721""",-1.0025,-1.0
4.9673,4.3664,'-1.0'
3.8851,-4.6879,"""-1.0"""
-1.1028,-6.3932,-1.0
5.5365,2.5069,-1.0
-1.6778,'-6.184','-1.0'
"""-6.1689""",-1.7309,-1.0
5.2837,2.9798,'-1.0'
-6.1322,1.6445,-1.0
-6.0828,0.5867,-1.0
3.4371,5.8769,-1.0
6.5472,'-2.3247','-1.0'
3.5685,-4.9132,-1.0
-3.388,-6.0741,-1.0
-6.3404,1.5308,-1.0
-5.356,3.3163,'-1.0'
-3.5418,-4.938,"'-1.0"""
'-6.2376',-1.8305,-1.0
6.281,"""2.5912""",-1.0
-6.6864,'-0.5263','-1.0'
2.0996,-5.6742,"'-1.0"""
-5.8748,1.5383,-1.0
"""6.0647""",2.0533,-1.0
1.4226,-6.1325,-1.0
1.8751,5.9436,-1.0
-0.3401,'6.2718','-1.0'
3.4741,"""5.8496""",-1.0
-3.3464,6.0676,'-1.0'
0.2716,-6.3993,"'-1.0"""
-6.8549,-0.8391,-1.0
"""1.7682""",6.0692,-1.0
4.6602,'-4.4974',-1.0
"'4.5274""",-4.2739,-1.0
'4.5633',-4.8241,-1.0
